,customer_id,probability,prediction
0,0002-ORFBO,0.09037316926884753,0
1,0003-MKNFE,0.24493828352250138,0
2,0004-TLHLJ,0.6641886915193165,1
3,0011-IGKFF,0.6433106901907749,1
4,0013-EXCHZ,0.6330930382511175,1
5,0013-MHZWF,0.2721010545414255,0
6,0013-SMEOE,0.07632065494923634,0
7,0014-BMAQU,0.05773804247737731,0
8,0015-UOCOJ,0.3667678201946402,0
9,0016-QLJIS,0.02878235785130368,0
10,0017-DINOC,0.01744524111186839,0
11,0017-IUDMW,0.044470286787712754,0
12,0018-NYROU,0.5964427993452673,1
13,0019-EFAEP,0.055215515324257225,0
14,0019-GFNTW,0.01862351621267109,0
15,0020-INWCK,0.07932303503900731,0
16,0020-JDNXP,0.08452895442482528,0
17,0021-IKXGC,0.7224799666074918,1
18,0022-TCJCI,0.09370117105879579,0
19,0023-HGHWL,0.5761326153457591,1
20,0023-UYUPN,0.08232243877320179,0
21,0023-XUOPT,0.6434952880722287,1
22,0027-KWYKW,0.4993675267236515,0
23,0030-FNXPP,0.1933436906322558,0
24,0031-PVLZI,0.14570554302314032,0
25,0032-PGELS,0.47972277626138615,0
26,0036-IHMOT,0.2064881943966537,0
27,0040-HALCW,0.013422656377855242,0
28,0042-JVWOJ,0.03165950467232474,0
29,0042-RLHYP,0.011292147951992335,0
30,0048-LUMLS,0.1642276540669246,0
31,0048-PIHNL,0.04175082092937363,0
32,0052-DCKON,0.2170698151355714,0
33,0052-YNYOT,0.06925221596210526,0
34,0056-EPFBG,0.016323676693241237,0
35,0057-QBUQH,0.03307988418535954,0
36,0058-EVZWM,0.3190512491441703,0
37,0060-FUALY,0.36984152723356123,0
38,0064-SUDOG,0.02027247390225565,0
39,0064-YIJGF,0.39905935446752283,0
40,0067-DKWBL,0.5345056893580442,1
41,0068-FIGTF,0.08325898141255764,0
42,0071-NDAFP,0.015104227156812495,0
43,0074-HDKDG,0.07833111195580549,0
44,0076-LVEPS,0.18380414322434846,0
45,0078-XZMHT,0.016385345010030705,0
46,0080-EMYVY,0.07409245696020414,0
47,0080-OROZO,0.2652760990219435,0
48,0082-LDZUE,0.4699627947548678,0
49,0082-OQIQY,0.466889034324134,0
50,0083-PIVIK,0.0875851171488287,0
51,0089-IIQKO,0.3991537906362946,0
52,0093-EXYQL,0.45809640630093457,0
53,0093-XWZFY,0.40444416889025997,0
54,0094-OIFMO,0.6434952880722287,1
55,0096-BXERS,0.3705590727622385,0
56,0096-FCPUF,0.16292207118783972,0
57,0098-BOWSO,0.11077857275043401,0
58,0100-DUVFC,0.24074416149193995,0
59,0103-CSITQ,0.2231691587192579,0
60,0104-PPXDV,0.06417858737613975,0
61,0106-GHRQR,0.2391678377746396,0
62,0106-UGRDO,0.08228769051111966,0
63,0107-WESLM,0.3923663112750863,0
64,0107-YHINA,0.720410487674111,1
65,0111-KLBQG,0.38598049302677134,0
66,0112-QAWRZ,0.4935318003603696,0
67,0112-QWPNC,0.08513890142807,0
68,0114-IGABW,0.013956017729317085,0
69,0114-PEGZZ,0.4355775764511966,0
70,0114-RSRRW,0.10176645645360281,0
71,0115-TFERT,0.469682147060785,0
72,0117-LFRMW,0.19268096033680948,0
73,0118-JPNOY,0.39547591935167115,0
74,0121-SNYRK,0.05635624641280646,0
75,0122-OAHPZ,0.6391094500529918,1
76,0123-CRBRT,0.019847124161775444,0
77,0125-LZQXK,0.6101547392979955,1
78,0128-MKWSG,0.18380414322434846,0
79,0129-KPTWJ,0.3717906079679498,0
80,0129-QMPDR,0.04097722669179525,0
81,0130-SXOUN,0.31294145633091086,0
82,0133-BMFZO,0.6807803921516539,1
83,0134-XWXCE,0.09414833267825673,0
84,0135-NMXAP,0.5759804965794055,1
85,0136-IFMYD,0.08694121059098936,0
86,0137-OCGAB,0.6828035532688541,1
87,0137-UDEUO,0.1933436906322558,0
88,0139-IVFJG,0.6715343871005202,1
89,0141-YEAYS,0.39505931006920314,0
90,0142-GVYSN,0.07444269277713685,0
91,0147-ESWWR,0.46529165926064564,0
92,0148-DCDOS,0.4116831931860772,0
93,0151-ONTOV,0.6665010863550385,1
94,0156-FVPTA,0.24121754035795398,0
95,0164-APGRB,0.058271470194028625,0
96,0164-XAIRP,0.015302430630604906,0
97,0168-XZKBB,0.5019919636764958,1
98,0174-QRVVY,0.010042920678891575,0
99,0177-PXBAT,0.38071909132312726,0
100,0178-CIIKR,0.16679875661043447,0
101,0178-SZBHO,0.45113843981584345,0
102,0181-RITDD,0.10348135342204673,0
103,0186-CAERR,0.20211095248164057,0
104,0187-QSXOE,0.6433221095526762,1
105,0187-WZNAB,0.3986706931346661,0
106,0188-GWFLE,0.16665390953954884,0
107,0191-EQUUH,0.0176873130568776,0
108,0191-ZHSKZ,0.25768759346198616,0
109,0193-ESZXP,0.19895748435942348,0
110,0195-IESCP,0.6534045754161204,1
111,0196-JTUQI,0.562868242458079,1
112,0196-VULGZ,0.6613292632151334,1
113,0197-PNKNK,0.12023756353500065,0
114,0201-MIBOL,0.07788187655432526,0
115,0201-OAMXR,0.22038044115584893,0
116,0203-HHYIJ,0.0431309046007909,0
117,0206-OYVOC,0.01279610452797332,0
118,0206-TBWLC,0.23409442382115678,0
119,0207-MDKNV,0.607810628443492,1
120,0208-BPQEJ,0.12202187119182119,0
121,0212-ISBBF,0.2400658748724827,0
122,0214-JHPFW,0.013956017729317085,0
123,0215-BQKGS,0.3985134714980857,0
124,0218-QNVAS,0.1644203023097724,0
125,0219-QAERP,0.032341863550559895,0
126,0219-YTZUE,0.6267976821517656,1
127,0220-EBGCE,0.6811970014341218,1
128,0221-NAUXK,0.04355566972673913,0
129,0221-WMXNQ,0.672244449112504,1
130,0222-CNVPT,0.17177871313838586,0
131,0224-HJAPT,0.4322220278197452,0
132,0224-NIJLP,0.01984501149808962,0
133,0224-RLWWD,0.5443497113970971,1
134,0225-ZORZP,0.681506637294037,1
135,0228-MAUWC,0.23474935043145576,0
136,0229-LFJAF,0.017588155176759438,0
137,0230-UBYPQ,0.050428721231685444,0
138,0230-WEQUW,0.024633089107750417,0
139,0231-LXVAP,0.7330546873571216,1
140,0233-FTHAV,0.11463493611647033,0
141,0234-TEVTT,0.07162516914813488,0
142,0235-KGSLC,0.6925962123334335,1
143,0236-HFWSV,0.612639600568387,1
144,0237-YFUTL,0.3616513051425996,0
145,0238-WHBIQ,0.017052011676697367,0
146,0239-OXEXL,0.39062272231533895,0
147,0244-LGNFY,0.03235844109181487,0
148,0247-SLUJI,0.30660330735699015,0
149,0248-IPDFW,0.5340417219287286,1
150,0248-PGHBZ,0.07926516088385709,0
151,0253-ZTEOB,0.03857021840105539,0
152,0254-FNMCI,0.06793264009790034,0
153,0254-KCJGT,0.09756629794645467,0
154,0254-WWRKD,0.06254813097735179,0
155,0256-LTHVJ,0.4765778895996195,0
156,0257-KXZGU,0.1649248287730801,0
157,0257-ZESQC,0.40045224976666816,0
158,0258-NOKBL,0.6681823384471728,1
159,0259-GBZSH,0.6811970014341218,1
160,0260-ZDLGK,0.2700969046378568,0
161,0263-FJTQO,0.02130019218595982,0
162,0264-CNITK,0.008787425598368615,0
163,0265-EDXBD,0.4781512144894078,0
164,0265-PSUAE,0.4975579957065355,0
165,0266-CLZKZ,0.08344336582739671,0
166,0266-GMEAO,0.036742692973274926,0
167,0268-QKIWO,0.27588638341835153,0
168,0269-XFESX,0.03804868611857642,0
169,0270-THENM,0.017588155176759438,0
170,0274-JKUJR,0.25375630118680115,0
171,0277-BKSQP,0.34331980520658595,0
172,0277-ORXQS,0.022800686568231088,0
173,0278-YXOOG,0.16510460849079453,0
174,0280-XJGEX,0.3954422088505961,0
